Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"INRR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","970","844","3B","[4,8]"
"DRR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","769","1161","4B","[8]"
"DRR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","970","924","3B","[8]"
"PA1","OffPage","07 USB_COM","7","SCHEMATIC1","R66.2","1014","201","1C","[4]"
"PA1","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","U6.24","831","619","3B","[7]"
"PA2","OffPage","07 USB_COM","7","SCHEMATIC1","R65.2","1014","171","1D","[4]"
"PA2","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","U6.25","831","642","3B","[7]"
"PA3","OffPage","07 USB_COM","7","SCHEMATIC1","R64.2","1014","141","1D","[4]"
"PA3","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","U6.26","831","664","3B","[7]"
"SBRR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","975","964","3B","[8]"
"SBRR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","1757","1168","2B","[8]"
"PG3","OffPage","05 CDC_PCAP02AE","5","SCHEMATIC1","U7.1","737","209","2C","[4]"
"PG3","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","TP11.1,U6.33","915","796","3B","[5]"
"INTN","OffPage","05 CDC_PCAP02AE","5","SCHEMATIC1","U7.20","1042","249","1C","[4]"
"INTN","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","TP12.1,U6.34","916","819","3B","[5]"
"DR[1:8]","OffPage","06 Scan","6","SCHEMATIC1","","1454","1211","2B","[6]"
"DR[1:8]","OffPage","06 Scan","6","SCHEMATIC1","","987","940","3B","[6]"
"IIC_EN","OffPage","05 CDC_PCAP02AE","5","SCHEMATIC1","U7.24","1042","209","1C","[4]"
"IIC_EN","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","TP13.1,U6.36","916","865","3A","[5]"
